occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
76	872	0	1	0xC	0x38	170790	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
77	872	0	1	0xE	0xC9	170895	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
78	872	0	1	0x30	0x79	171045	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
79	872	0	1	0x31	0x32	171105	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
80	872	1	1	0x34	0xF1	171300	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
81	872	1	1	0x35	0xC9	171450	0xE49	150	return	target=0xE49	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
82	872	1	1	0xE49	0xC6	171600	0xE4B	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
83	872	1	1	0xE4B	0x10	171705	0xE46	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
84	872	1	1	0xE46	0x4E	171900	0xE47	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
85	872	1	1	0xE47	0x23	172050	0xE48	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
86	872	1	1	0xE48	0xD7	172140	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
87	872	1	1	0x10	0xDD	172305	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
88	872	1	1	0x14	0x28	172605	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
89	872	1	1	0x16	0x18	172710	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
90	872	1	1	0x28	0xF5	172890	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
91	872	1	1	0x29	0xCF	173055	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
92	872	1	1	0x8	0x3A	173220	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
93	872	1	1	0xB	0x87	173415	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
94	872	1	1	0xC	0x38	173475	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
95	872	1	1	0xE	0xC9	173580	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
96	872	1	1	0x2A	0xF1	173730	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
97	872	1	1	0x2B	0x32	173880	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
98	872	1	1	0x2E	0xF5	174075	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
99	872	1	1	0x2F	0xCF	174240	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
100	872	1	1	0x8	0x3A	174405	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
101	872	1	1	0xB	0x87	174600	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
102	872	1	1	0xC	0x38	174660	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
103	872	1	1	0xE	0xC9	174765	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
104	872	1	1	0x30	0x79	174915	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
105	872	1	1	0x31	0x32	174975	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
106	872	2	1	0x34	0xF1	175170	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
107	872	2	1	0x35	0xC9	175320	0xE49	150	return	target=0xE49	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
108	872	2	1	0xE49	0xC6	175470	0xE4B	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
109	872	2	1	0xE4B	0x10	175575	0xE46	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
110	872	2	1	0xE46	0x4E	175770	0xE47	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
111	872	2	1	0xE47	0x23	175920	0xE48	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
112	872	2	1	0xE48	0xD7	176010	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
113	872	2	1	0x10	0xDD	176175	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
114	872	2	1	0x14	0x28	176475	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
115	872	2	1	0x16	0x18	176580	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
116	872	2	1	0x28	0xF5	176760	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
117	872	2	1	0x29	0xCF	176925	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
118	872	2	1	0x8	0x3A	177090	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
119	872	2	1	0xB	0x87	177285	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
120	872	2	1	0xC	0x38	177345	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
121	872	2	1	0xE	0xC9	177450	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
122	872	2	1	0x2A	0xF1	177600	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
123	872	2	1	0x2B	0x32	177750	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
124	872	2	1	0x2E	0xF5	177945	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
125	872	2	1	0x2F	0xCF	178110	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
126	872	2	1	0x8	0x3A	178275	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
127	872	2	1	0xB	0x87	178470	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
128	872	2	1	0xC	0x38	178530	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
129	872	2	1	0xE	0xC9	178635	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
130	872	2	1	0x30	0x79	178785	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
131	872	2	1	0x31	0x32	178845	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
132	872	3	1	0x34	0xF1	179040	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
133	872	3	1	0x35	0xC9	179190	0xE49	150	return	target=0xE49	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
134	872	3	1	0xE49	0xC6	179340	0xE4B	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
135	872	3	1	0xE4B	0x10	179445	0xE46	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
136	872	3	1	0xE46	0x4E	179640	0xE47	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
137	872	3	1	0xE47	0x23	179790	0xE48	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
138	872	3	1	0xE48	0xD7	179880	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
139	872	3	1	0x10	0xDD	180045	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
140	872	3	1	0x14	0x28	180345	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
141	872	3	1	0x16	0x18	180450	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
142	872	3	1	0x28	0xF5	180630	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
143	872	3	1	0x29	0xCF	180795	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
144	872	3	1	0x8	0x3A	180960	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
145	872	3	1	0xB	0x87	181155	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
146	872	3	1	0xC	0x38	181215	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
147	872	3	1	0xE	0xC9	181320	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
148	872	3	1	0x2A	0xF1	181470	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
149	872	3	1	0x2B	0x32	181620	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
150	872	3	1	0x2E	0xF5	181815	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
151	872	3	1	0x2F	0xCF	181980	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
152	872	3	1	0x8	0x3A	182145	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
153	872	3	1	0xB	0x87	182340	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
154	872	3	1	0xC	0x38	182400	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
155	872	3	1	0xE	0xC9	182505	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
156	872	3	1	0x30	0x79	182655	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
157	872	3	1	0x31	0x32	182715	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
158	872	4	1	0x34	0xF1	182910	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
159	872	4	1	0x35	0xC9	183060	0xE49	150	return	target=0xE49	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
160	872	4	1	0xE49	0xC6	183210	0xE4B	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
161	872	4	1	0xE4B	0x10	183315	0xE4D	120	branch	not_taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
162	872	4	1	0xE4D	0xF5	183435	0xE4E	165	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
163	872	4	1	0xE4E	0xC6	183600	0xE50	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
164	872	4	1	0xE50	0x06	183705	0xE52	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
165	872	4	1	0xE52	0x4E	183810	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
166	872	4	1	0xE53	0x23	183960	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
167	872	4	1	0xE54	0xD7	184050	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
168	872	4	1	0x10	0xDD	184215	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
169	872	4	1	0x14	0x28	184515	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
170	872	4	1	0x16	0x18	184620	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
171	872	4	1	0x28	0xF5	184800	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
172	872	4	1	0x29	0xCF	184965	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
173	872	4	1	0x8	0x3A	185130	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
174	872	4	1	0xB	0x87	185325	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
175	872	4	1	0xC	0x38	185385	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
176	872	4	1	0xE	0xC9	185490	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
177	872	4	1	0x2A	0xF1	185640	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
178	872	4	1	0x2B	0x32	185790	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
179	872	4	1	0x2E	0xF5	185985	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
180	872	4	1	0x2F	0xCF	186150	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
181	872	4	1	0x8	0x3A	186315	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
182	872	4	1	0xB	0x87	186510	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
183	872	4	1	0xC	0x38	186570	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
184	872	4	1	0xE	0xC9	186675	0x30	150	return	target=0x30	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
185	872	4	1	0x30	0x79	186825	0x31	60	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
186	872	4	1	0x31	0x32	186885	0x34	195	linear	n/a	ordinary,ym_write	zWriteFMII@s2.sounddriver.asm:372-389
187	872	5	1	0x34	0xF1	187080	0x35	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
188	872	5	1	0x35	0xC9	187230	0xE55	150	return	target=0xE55	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
189	872	5	1	0xE55	0xC6	187380	0xE57	105	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
190	872	5	1	0xE57	0x10	187485	0xE52	195	branch	taken	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
191	872	5	1	0xE52	0x4E	187680	0xE53	150	linear	n/a	ordinary,bank_wait_3t	zSetVoice@s2.sounddriver.asm:3304-3396
192	872	5	1	0xE53	0x23	187830	0xE54	90	linear	n/a	ordinary	zSetVoice@s2.sounddriver.asm:3304-3396
193	872	5	1	0xE54	0xD7	187920	0x10	165	call	target=0x10	control_flow	zSetVoice@s2.sounddriver.asm:3304-3396
194	872	5	1	0x10	0xDD	188085	0x14	300	linear	n/a	ordinary	zWriteFMIorII@s2.sounddriver.asm:342-347
195	872	5	1	0x14	0x28	188385	0x16	105	branch	not_taken	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
196	872	5	1	0x16	0x18	188490	0x28	180	branch	target=0x28	control_flow	zWriteFMIorII@s2.sounddriver.asm:342-347
197	872	5	1	0x28	0xF5	188670	0x29	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
198	872	5	1	0x29	0xCF	188835	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
199	872	5	1	0x8	0x3A	189000	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
200	872	5	1	0xB	0x87	189195	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
201	872	5	1	0xC	0x38	189255	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
202	872	5	1	0xE	0xC9	189360	0x2A	150	return	target=0x2A	control_flow	zFMBusyWait@s2.sounddriver.asm:330-337
203	872	5	1	0x2A	0xF1	189510	0x2B	150	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
204	872	5	1	0x2B	0x32	189660	0x2E	195	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
205	872	5	1	0x2E	0xF5	189855	0x2F	165	linear	n/a	ordinary	zWriteFMII@s2.sounddriver.asm:372-389
206	872	5	1	0x2F	0xCF	190020	0x8	165	call	target=0x8	control_flow	zWriteFMII@s2.sounddriver.asm:372-389
207	872	5	1	0x8	0x3A	190185	0xB	195	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
208	872	5	1	0xB	0x87	190380	0xC	60	linear	n/a	ordinary,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
209	872	5	1	0xC	0x38	190440	0xE	105	branch	not_taken	control_flow,busy_poll	zFMBusyWait@s2.sounddriver.asm:330-337
