occurrence_ordinal	frame	after_source_ordinal	cpu	pc	opcode	start_master_cycle	refresh_delay_total_master_cycles	next_pc	delta_to_next_start	flow	branch_outcome	roles	source
53	978	0	2	0x7276E	0x66F4	161251	1750	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
54	978	0	2	0x72770	0x13C0	161307	1750	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
55	978	0	2	0x72776	0x4E71	161426	1750	0x72778	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
56	978	0	2	0x72778	0x4E71	161454	1750	0x7277A	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
57	978	0	2	0x7277A	0x4E71	161482	1750	0x7277C	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
58	978	0	2	0x7277C	0x1439	161510	1750	0x72782	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
59	978	0	2	0x72782	0x0802	161629	1750	0x72786	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
60	978	0	2	0x72786	0x66F4	161699	1750	0x72788	56	branch	not_taken	control_flow,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
61	978	0	2	0x72788	0x13C1	161755	1750	0x7278E	119	linear	n/a	ordinary,ym_write	WriteFMII@s1.sounddriver.asm:1752-1769
62	978	1	2	0x7278E	0x4E75	161874	1750	0x72C7A	126	return	target=0x72C7A	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
63	978	1	2	0x72C7A	0x51CB	162000	1764	0x72C72	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
64	978	1	2	0x72C72	0x101A	162070	1764	0x72C74	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
65	978	1	2	0x72C74	0x1219	162126	1764	0x72C76	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
66	978	1	2	0x72C76	0x4EBA	162182	1764	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
67	978	1	2	0x72722	0x082D	162308	1764	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
68	978	1	2	0x72728	0x6630	162420	1764	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
69	978	1	2	0x7275A	0x142D	162490	1764	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
70	978	1	2	0x7275E	0x0882	162574	1764	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
71	978	1	2	0x72762	0xD002	162658	1764	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
72	978	1	2	0x72764	0x1439	162686	1764	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
73	978	1	2	0x7276A	0x0802	162805	1764	0x7276E	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
74	978	1	2	0x7276E	0x66F4	162889	1778	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
75	978	1	2	0x72764	0x1439	162959	1778	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
76	978	1	2	0x7276A	0x0802	163078	1778	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
77	978	1	2	0x7276E	0x66F4	163148	1778	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
78	978	1	2	0x72764	0x1439	163218	1778	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
79	978	1	2	0x7276A	0x0802	163337	1778	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
80	978	1	2	0x7276E	0x66F4	163407	1778	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
81	978	1	2	0x72770	0x13C0	163463	1778	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
82	978	1	2	0x72776	0x4E71	163582	1778	0x72778	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
83	978	1	2	0x72778	0x4E71	163610	1778	0x7277A	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
84	978	1	2	0x7277A	0x4E71	163638	1778	0x7277C	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
85	978	1	2	0x7277C	0x1439	163666	1778	0x72782	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
86	978	1	2	0x72782	0x0802	163785	1778	0x72786	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
87	978	1	2	0x72786	0x66F4	163869	1792	0x72788	56	branch	not_taken	control_flow,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
88	978	1	2	0x72788	0x13C1	163925	1792	0x7278E	119	linear	n/a	ordinary,ym_write	WriteFMII@s1.sounddriver.asm:1752-1769
89	978	2	2	0x7278E	0x4E75	164044	1792	0x72C7A	112	return	target=0x72C7A	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
90	978	2	2	0x72C7A	0x51CB	164156	1792	0x72C72	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
91	978	2	2	0x72C72	0x101A	164226	1792	0x72C74	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
92	978	2	2	0x72C74	0x1219	164282	1792	0x72C76	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
93	978	2	2	0x72C76	0x4EBA	164338	1792	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
94	978	2	2	0x72722	0x082D	164464	1792	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
95	978	2	2	0x72728	0x6630	164576	1792	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
96	978	2	2	0x7275A	0x142D	164646	1792	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
97	978	2	2	0x7275E	0x0882	164730	1792	0x72762	98	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
98	978	2	2	0x72762	0xD002	164828	1806	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
99	978	2	2	0x72764	0x1439	164856	1806	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
100	978	2	2	0x7276A	0x0802	164975	1806	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
101	978	2	2	0x7276E	0x66F4	165045	1806	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
102	978	2	2	0x72764	0x1439	165115	1806	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
103	978	2	2	0x7276A	0x0802	165234	1806	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
104	978	2	2	0x7276E	0x66F4	165304	1806	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
105	978	2	2	0x72764	0x1439	165374	1806	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
106	978	2	2	0x7276A	0x0802	165493	1806	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
107	978	2	2	0x7276E	0x66F4	165563	1806	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
108	978	2	2	0x72770	0x13C0	165619	1806	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
109	978	2	2	0x72776	0x4E71	165738	1806	0x72778	42	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
110	978	2	2	0x72778	0x4E71	165780	1820	0x7277A	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
111	978	2	2	0x7277A	0x4E71	165808	1820	0x7277C	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
112	978	2	2	0x7277C	0x1439	165836	1820	0x72782	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
113	978	2	2	0x72782	0x0802	165955	1820	0x72786	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
114	978	2	2	0x72786	0x66F4	166025	1820	0x72788	56	branch	not_taken	control_flow,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
115	978	2	2	0x72788	0x13C1	166081	1820	0x7278E	119	linear	n/a	ordinary,ym_write	WriteFMII@s1.sounddriver.asm:1752-1769
116	978	3	2	0x7278E	0x4E75	166200	1820	0x72C7A	112	return	target=0x72C7A	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
117	978	3	2	0x72C7A	0x51CB	166312	1820	0x72C72	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
118	978	3	2	0x72C72	0x101A	166382	1820	0x72C74	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
119	978	3	2	0x72C74	0x1219	166438	1820	0x72C76	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
120	978	3	2	0x72C76	0x4EBA	166494	1820	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
121	978	3	2	0x72722	0x082D	166620	1820	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
122	978	3	2	0x72728	0x6630	166732	1820	0x7275A	84	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
123	978	3	2	0x7275A	0x142D	166816	1834	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
124	978	3	2	0x7275E	0x0882	166900	1834	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
125	978	3	2	0x72762	0xD002	166984	1834	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
126	978	3	2	0x72764	0x1439	167012	1834	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
127	978	3	2	0x7276A	0x0802	167131	1834	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
128	978	3	2	0x7276E	0x66F4	167201	1834	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
129	978	3	2	0x72764	0x1439	167271	1834	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
130	978	3	2	0x7276A	0x0802	167390	1834	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
131	978	3	2	0x7276E	0x66F4	167460	1834	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
132	978	3	2	0x72764	0x1439	167530	1834	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
133	978	3	2	0x7276A	0x0802	167649	1834	0x7276E	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
134	978	3	2	0x7276E	0x66F4	167733	1848	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
135	978	3	2	0x72770	0x13C0	167789	1848	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
136	978	3	2	0x72776	0x4E71	167908	1848	0x72778	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
137	978	3	2	0x72778	0x4E71	167936	1848	0x7277A	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
138	978	3	2	0x7277A	0x4E71	167964	1848	0x7277C	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
139	978	3	2	0x7277C	0x1439	167992	1848	0x72782	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
140	978	3	2	0x72782	0x0802	168111	1848	0x72786	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
141	978	3	2	0x72786	0x66F4	168181	1848	0x72788	56	branch	not_taken	control_flow,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
142	978	3	2	0x72788	0x13C1	168237	1848	0x7278E	119	linear	n/a	ordinary,ym_write	WriteFMII@s1.sounddriver.asm:1752-1769
143	978	4	2	0x7278E	0x4E75	168356	1848	0x72C7A	112	return	target=0x72C7A	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
144	978	4	2	0x72C7A	0x51CB	168468	1848	0x72C72	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
145	978	4	2	0x72C72	0x101A	168538	1848	0x72C74	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
146	978	4	2	0x72C74	0x1219	168594	1848	0x72C76	70	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
147	978	4	2	0x72C76	0x4EBA	168664	1862	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
148	978	4	2	0x72722	0x082D	168790	1862	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
149	978	4	2	0x72728	0x6630	168902	1862	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
150	978	4	2	0x7275A	0x142D	168972	1862	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
151	978	4	2	0x7275E	0x0882	169056	1862	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
152	978	4	2	0x72762	0xD002	169140	1862	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
153	978	4	2	0x72764	0x1439	169168	1862	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
154	978	4	2	0x7276A	0x0802	169287	1862	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
155	978	4	2	0x7276E	0x66F4	169357	1862	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
156	978	4	2	0x72764	0x1439	169427	1862	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
157	978	4	2	0x7276A	0x0802	169546	1862	0x7276E	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
158	978	4	2	0x7276E	0x66F4	169630	1876	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
159	978	4	2	0x72764	0x1439	169700	1876	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
160	978	4	2	0x7276A	0x0802	169819	1876	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
161	978	4	2	0x7276E	0x66F4	169889	1876	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
162	978	4	2	0x72770	0x13C0	169945	1876	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
163	978	4	2	0x72776	0x4E71	170064	1876	0x72778	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
164	978	4	2	0x72778	0x4E71	170092	1876	0x7277A	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
165	978	4	2	0x7277A	0x4E71	170120	1876	0x7277C	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
166	978	4	2	0x7277C	0x1439	170148	1876	0x72782	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
167	978	4	2	0x72782	0x0802	170267	1876	0x72786	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
168	978	4	2	0x72786	0x66F4	170337	1876	0x72788	56	branch	not_taken	control_flow,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
169	978	4	2	0x72788	0x13C1	170393	1876	0x7278E	119	linear	n/a	ordinary,ym_write	WriteFMII@s1.sounddriver.asm:1752-1769
170	978	5	2	0x7278E	0x4E75	170512	1876	0x72C7A	126	return	target=0x72C7A	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
171	978	5	2	0x72C7A	0x51CB	170638	1890	0x72C72	70	branch	taken	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
172	978	5	2	0x72C72	0x101A	170708	1890	0x72C74	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
173	978	5	2	0x72C74	0x1219	170764	1890	0x72C76	56	linear	n/a	ordinary	SetVoice@s1.sounddriver.asm:2328-2375
174	978	5	2	0x72C76	0x4EBA	170820	1890	0x72722	126	call	target=0x72722	control_flow	SetVoice@s1.sounddriver.asm:2328-2375
175	978	5	2	0x72722	0x082D	170946	1890	0x72728	112	linear	n/a	ordinary	WriteFMIorII@s1.sounddriver.asm:1712-1717
176	978	5	2	0x72728	0x6630	171058	1890	0x7275A	70	branch	taken	control_flow	WriteFMIorII@s1.sounddriver.asm:1712-1717
177	978	5	2	0x7275A	0x142D	171128	1890	0x7275E	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
178	978	5	2	0x7275E	0x0882	171212	1890	0x72762	84	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
179	978	5	2	0x72762	0xD002	171296	1890	0x72764	28	linear	n/a	ordinary	WriteFMIIPart@s1.sounddriver.asm:1745-1750
180	978	5	2	0x72764	0x1439	171324	1890	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
181	978	5	2	0x7276A	0x0802	171443	1890	0x7276E	84	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
182	978	5	2	0x7276E	0x66F4	171527	1904	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
183	978	5	2	0x72764	0x1439	171597	1904	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
184	978	5	2	0x7276A	0x0802	171716	1904	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
185	978	5	2	0x7276E	0x66F4	171786	1904	0x72764	70	branch	taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
186	978	5	2	0x72764	0x1439	171856	1904	0x7276A	119	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
187	978	5	2	0x7276A	0x0802	171975	1904	0x7276E	70	linear	n/a	ordinary,busy_poll	WriteFMII@s1.sounddriver.asm:1752-1769
188	978	5	2	0x7276E	0x66F4	172045	1904	0x72770	56	branch	not_taken	control_flow	WriteFMII@s1.sounddriver.asm:1752-1769
189	978	5	2	0x72770	0x13C0	172101	1904	0x72776	119	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
190	978	5	2	0x72776	0x4E71	172220	1904	0x72778	28	linear	n/a	ordinary	WriteFMII@s1.sounddriver.asm:1752-1769
